MODEL,ACCURACY,F1_class_0,F1_class_1,Weighted_F1
Logistic Regression Baseline,0.797079556898288,0.820169567157519,0.7671865973425765,0.7981333470834291
Logistic Regression Tuned,0.797583081570997,0.8206958073148974,0.7676300578034682,0.798625158223034
Logistic Regression SelectKBest,0.797079556898288,0.820169567157519,0.7671865973425765,0.7981333470834291
Logistic Regression RFE,0.797079556898288,0.820169567157519,0.7671865973425765,0.7981333470834291
Decision Tree Baseline,0.6973816717019133,0.7430525865754596,0.6319657072872015,0.6968502893488225
Decision Tree Tuned,0.7759315206445115,0.798733604703754,0.7473026689381034,0.7773428932523807
Random Forest Tuned,0.798086606243706,0.8318658280922432,0.7473219911783239,0.7967030842398277
Random Forest Baseline,0.7844914400805639,0.8170940170940171,0.7377450980392157,0.7840918986955953
